id,hazard,prior_report,relevant_precedent (y/n),notes
fixture-notam-14027480,KMIA: LOC 09 unserviceable until 15 Sep 1600Z (est),ZZZ ATC workload was extremely high and the [Runway] XXL RJ didn't intercept the localizer at all; nor were they aware of the traffic around them (us).High ATC workload and neighboring jet on the other approach had low SA (Situational Awareness).ZZZ workload review and talk to the crew who blew through the [Runway] XXL localizer and crossed into us. Synopsis: Air carrier First Officer reported flying the breakout procedure in response to an RA triggered by an aircraft on approach on the parallel runway that had overshot the localizer and was directly overhead.,,
ntsb-case-52309067,KSGS: runway — Environmental issues-Operating environment-Airport facilities/design-Runway/landing area condition-Contributed to outcome,"Contributing to the accident were the inoperative lights, weather conditions below published approach minimums, and the slush contaminated runway. Findings: Environmental issues-Physical environment-Runway/land/takeoff/taxi surfa-Snow/slush/ice covered-Contributed to outcome - F; Environmental issues-Conditions/weather/phenomena-Ceiling/visibility/precip-Below approach minima-Decision related to condition - F; Environmental issues-Operating environment-Approach aid coverage/avail-Approach lighting-Effect on operation - F; Personnel issues-Action/decision-Action-Incorrect action selection-Fligh",,
fixture-notam-92052716,KIAD: HIRL 01C unserviceable until 15 Sep 0500Z,Contributing to the accident was a flooded runway. Findings: Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot; Personnel issues-Action/decision-Info processing/decision-Decision making/judgment-Pilot; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Directional control-Not attained/maintained; Environmental issues-Physical environment-Runway/land/takeoff/taxi surface-Wet surface-Contributed to outcome Sequence: Takeoff Loss of control on ground,,
fixture-notam-72922061,KEWR: ILS 04R unserviceable (maintenance) until 16 Sep 0000Z (est),"When asked if he experienced any mechanical difficulties with the airplane, he responded that there were none and that the airplane was operating perfectly. Based on this information the pilot failed to maintain a proper glide path during the landing approach and then failed to use available engine power to arrest the descent, resulting in an undershoot and collision with terrain. Probable cause: The pilot's failure to maintain a proper glide path during the landing approach and his failure to use available engine power to arrest the descent, resulting in an undershoot and collision with terra",,
fixture-notam-01051584,KMCO: Runway 18R closed (work in progress) until 15 Sep 1300Z,Contributing to the accident was the pilot's selection of an inadequate runway for the conditions. Findings: Personnel issues-Action/decision-Info processing/decision-Decision making/judgment-Pilot - C; Aircraft-Aircraft oper/perf/capability-Aircraft capability-CG/weight distribution-Capability exceeded - C; Environmental issues-Operating environment-Airport facilities/design-(general)-Decision related to condition - F Sequence: Takeoff Runway excursion; Takeoff-rejected takeoff Nose over/nose down,,
fixture-notam-00925853,KIAH: VOR unserviceable until 17 Sep 0100Z,"Contributing to the accident were the pilot’s decision to perform a low-altitude flight, his distracted attention, and his failure to monitor the environment for objects. Findings: Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot - C; Personnel issues-Psychological-Attention/monitoring-Task monitoring/vigilance-Pilot - F; Personnel issues-Psychological-Attention/monitoring-Monitoring environment-Pilot - F; Environmental issues-Physical environment-Object/animal/substance-Wire-Awareness of condition; Aircraft-Aircraft oper/perf/capability-Performance/control parameters",,
ntsb-case-92144303,KSNC: lighting — Environmental issues-Operating environment-Airport facilities/design-Runway lighting-Not specified - F,"Probable cause: The pilot's failure to maintain directional control during takeoff, which resulted in a runway excursion and an impact with runway lights. Findings: Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Directional control-Not attained/maintained - C; Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot - C; Environmental issues-Physical environment-Object/animal/substance-Runway/taxi/approach light-Effect on operation - C Sequence: Takeoff Loss of control on ground; Takeoff Runway excursion; Takeoff Collision with terr/obj (non-CFIT)",,
ntsb-case-34553396,KEEN: wildlife — Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Ability to respond/compensate - C; Landing-flare/touchdown Wildlife encounter (non-bird),"Probable cause: The pilot's abnormal runway contact during the landing flare, which resulted in a porpoise, hard landing, and runway excursion. Findings: Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot - C; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Landing flare-Not attained/maintained - C; Environmental issues-Conditions/weather/phenomena-Wind-Crosswind-Effect on equipment Sequence: Landing-flare/touchdown Abnormal runway contact; Landing Loss of control on ground; Landing-flare/touchdown Runway excursion",,
fixture-notam-52435722,KSLC: PAPI 34L unserviceable until 15 Sep 0800Z,"Probable cause: The pilot's improper approach for landing, which resulted in the airplane landing long, and his delayed decision to go around with insufficient runway remaining, which resulted in collision with an airport perimeter fence. Findings: Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot - C; Personnel issues-Action/decision-Info processing/decision-Decision making/judgment-Pilot - C; Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Descent/approach/glide path-Not attained/maintained - C; Environmental issues-Physical environment-Object/a",,
ntsb-case-79714540,KCCB: runway — Landing-landing roll Runway incursion veh/AC/person; Taxi-from runway Runway incursion veh/AC/person,No prior agreement had been made regarding both aircraft being on the runway at the same time. I made the radio call that I was taxiing forward and exiting the runway as a Beechcraft was turning final for runway TWO-ZERO. There was much apprehension in the voice of the Beechcraft pilot as he was trying to figure out if he had time to make a safe approach and landing with two aircraft on the runway. I was not comfortable executing an immediate rolling takeoff; so that there was sufficient time for the skydive aircraft to also takeoff; before the Beechcraft touched down. It was absolutely an uns,,
